food items,Carbs,Total Fat,Saturated Fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C,Vitamin A,Calcium,Iron,Zinc,Vitamin E,Vitamin K
Sprouts,2.95,0.15,0,1.55,0.65,0,6.5,0.45,39.5,12,35,6.6,15,8,0.75,0.25,0.75,0.55
Whole Grain Quinoa,64.2,6.1,0.7,14.1,7,0,5,2.4,563,197,457,0,0,47,4.6,3.1,2.4,0.9
Foxtail Millets,37.8,1.8,0.45,4.8,1.95,0,25.5,0.9,450,94.5,435,0,0,46.5,4.2,2.4,1.2,0
Barnyard Millets,37.758,1.044,0.174,6.264,3.132,0,15.66,2.784,339.3,55.68,509.82,0,0,19.14,11.658,4.872,1.914,0
Little Millets,25.2,1.3,0.3,3.6,7.6,0,17,1.4,205,25,211,0,0,17,9.3,2.2,0.2,0
Kodo Millets,21.66,1.19,0.25,3.3,1.2,0,27,0.9,241,37,293,0,0,27,0.9,0.9,0.1,0
Pearl Millets,40.29,2.21,0.51,5.27,2.21,0,28.9,1.36,595,193.8,484.5,0,0,40.8,5.27,3.06,2.89,0
White Sorghums,27.5,1.1,0,3.3,3.3,0,2.2,0.66,385,149.6,315.7,0,0,30.8,3.85,1.32,0.55,0
Sorghum Flakes,22.95,0.93,0.15,2.19,1.89,0,1.5,0.15,105,40.8,86.1,0,0,0,1.32,0.84,0.03,0
Whole grain Sorghum,72.1,3.3,0.7,11.3,6.7,0,5,2.6,350,197,287,0,0,0,4.4,2.8,0.5,0
Roti,23.05,3.1,0.75,4.85,1.45,0,86.5,0,59.5,37,80,0.25,5.5,48.5,1.95,0.7,0.55,0.95
Paratha,34.65,5.325,1.275,7.125,1.95,0,168,0,86.25,54,84,0.375,8.25,55.5,1.65,0.45,1.125,2.625
Fruit Juice,32.5,0.25,0,1,0.5,0,10,30,405,20,40,100,832.5,0.75,3.75,27.5,0.75,0.175
Aloe Vera Juice,12.95,0,0,0.35,0,0,38.5,12.95,199.5,14,28,9.8,77,0,105,28,0.14,0.35
